2.3000000000	3.6459598289E-7	-24.8875322216
2.2990000000	3.6483217767E-7	-24.8805382375
2.2980000000	3.6579538808E-7	-24.8808405125
2.2970000000	3.6699008725E-7	-24.8944973577
2.2960000000	3.6837264509E-7	-24.8845549253
2.2950000000	3.6964528563E-7	-24.9024089338
2.2940000000	3.7130820575E-7	-24.9219387325
2.2930000000	3.7240570257E-7	-24.9026905671
2.2920000000	3.7329230565E-7	-24.8987427993
2.2910000000	3.7464575623E-7	-24.9007957059
2.2900000000	3.7576435793E-7	-24.9097080534
2.2890000000	3.7649181849E-7	-24.9168564367
2.2880000000	3.7727188402E-7	-24.9202652610
2.2870000000	3.7820736395E-7	-24.9322646385
2.2860000000	3.7961762421E-7	-24.9107139660
2.2850000000	3.8172761721E-7	-24.9081090609
2.2840000000	3.8253718816E-7	-24.9000237517
2.2830000000	3.8328907092E-7	-24.9149279080
2.2820000000	3.8402027637E-7	-24.9025842658
2.2810000000	3.8456548932E-7	-24.9126741339
2.2800000000	3.8485010863E-7	-24.9215564075
2.2790000000	3.8544793979E-7	-24.9279634201
2.2780000000	3.8669991464E-7	-24.9178860262
2.2770000000	3.8766354742E-7	-24.9182124930
2.2760000000	3.8839101485E-7	-24.9251259412
2.2750000000	3.8914754786E-7	-24.9206079177
2.2740000000	3.9018822068E-7	-24.9250607162
2.2730000000	3.9089124784E-7	-24.9242075468
2.2720000000	3.9164407901E-7	-24.9386856697
2.2710000000	3.9255469964E-7	-24.9423941077
2.2700000000	3.9377851997E-7	-24.9436628800
2.2690000000	3.9442895566E-7	-24.9463373533
2.2680000000	3.9516011548E-7	-24.9342835693
2.2670000000	3.9599368786E-7	-24.9338980425
2.2660000000	3.9680323435E-7	-24.9260508055
2.2650000000	3.9721426114E-7	-24.9540125229
2.2640000000	3.9781120990E-7	-24.9602324048
2.2630000000	3.9882471553E-7	-24.9754950641
2.2620000000	3.9968638080E-7	-24.9639796389
2.2610000000	4.0130003517E-7	-24.9666506429
2.2600000000	4.0304787002E-7	-24.9513242823
2.2590000000	4.0393354424E-7	-24.9476290719
2.2580000000	4.0411667999E-7	-24.9446197911
2.2570000000	4.0465741050E-7	-24.9725676044
2.2560000000	4.0533367659E-7	-24.9826242874
2.2550000000	4.0577608401E-7	-24.9806229241
2.2540000000	4.0611376727E-7	-24.9856646904
2.2530000000	4.0650810033E-7	-24.9687844431
2.2520000000	4.0752431454E-7	-24.9655324330
2.2510000000	4.0825182022E-7	-24.9720252312
2.2500000000	4.0937049315E-7	-24.9800113046
2.2490000000	4.1030563185E-7	-24.9908091669
2.2480000000	4.1064689358E-7	-24.9776983764
2.2470000000	4.1119128794E-7	-24.9870941324
2.2460000000	4.1213091003E-7	-24.9797460173
2.2450000000	4.1327633966E-7	-24.9768840738
2.2440000000	4.1366750138E-7	-24.9783862201
2.2430000000	4.1423997420E-7	-24.9770523500
2.2420000000	4.1530608048E-7	-24.9882895052
2.2410000000	4.1639893566E-7	-24.9887968335
2.2400000000	4.1751762512E-7	-24.9965821355
2.2390000000	4.1832668914E-7	-24.9888932126
2.2380000000	4.1902658284E-7	-25.0058409433
2.2370000000	4.2006687666E-7	-25.0096422497
2.2360000000	4.2202177202E-7	-24.9992348675
2.2350000000	4.2444491908E-7	-24.9941653854
2.2340000000	4.2566874677E-7	-24.9951902582
2.2330000000	4.2699416643E-7	-25.0070280488
2.2320000000	4.2751497789E-7	-25.0089265460
2.2310000000	4.2845015511E-7	-25.0192040159
2.2300000000	4.2998716225E-7	-25.0178755690
2.2290000000	4.3126355146E-7	-25.0155611454
2.2280000000	4.3113348410E-7	-25.0149746614
2.2270000000	4.3246243531E-7	-25.0094258857
2.2260000000	4.3399902138E-7	-25.0080247081
2.2250000000	4.3459691654E-7	-25.0135881939
2.2240000000	4.3571167206E-7	-25.0382076684
2.2230000000	4.3680543605E-7	-25.0385108898
2.2220000000	4.3795126711E-7	-25.0357750315
2.2210000000	4.3930912927E-7	-25.0201396711
2.2200000000	4.4081769127E-7	-25.0287423657
2.2190000000	4.4217116869E-7	-25.0300838439
2.2180000000	4.4349706461E-7	-25.0414939152
2.2170000000	4.4479799745E-7	-25.0459510191
2.2160000000	4.4591674256E-7	-25.0530971102
2.2150000000	4.4714015393E-7	-25.0537953894
2.2140000000	4.4797715940E-7	-25.0366505334
2.2130000000	4.4992855526E-7	-25.0432809588
2.2120000000	4.5198595475E-7	-25.0435743841
2.2110000000	4.5289704352E-7	-25.0466924390
2.2100000000	4.5359663671E-7	-25.0621449035
2.2090000000	4.5484504514E-7	-25.0695393717
2.2080000000	4.5638204296E-7	-25.0681182363
2.2070000000	4.5849107469E-7	-25.0652780373
2.2060000000	4.5989800230E-7	-25.0633462670
2.2050000000	4.6081208628E-7	-25.0501391354
2.2040000000	4.6185282466E-7	-25.0536091277
2.2030000000	4.6299614735E-7	-25.0669752870
2.2020000000	4.6380175312E-7	-25.0759334887
2.2010000000	4.6491962127E-7	-25.0827675767
2.2000000000	4.6606634157E-7	-25.0800358366
2.1990000000	4.6705414091E-7	-25.0863054502
2.1980000000	4.6783853417E-7	-25.0728419337
2.1970000000	4.6843986024E-7	-25.0620632554
2.1960000000	4.6968826846E-7	-25.0692242585
2.1950000000	4.7083071457E-7	-25.0823816501
2.1940000000	4.7205121615E-7	-25.0988133577
2.1930000000	4.7286017846E-7	-25.0918362683
2.1920000000	4.7382381350E-7	-25.0917496006
2.1910000000	4.7473449849E-7	-25.0945224698
2.1900000000	4.7518022741E-7	-25.0770765374
2.1890000000	4.7562058641E-7	-25.0909573824
